शहर,শহর
रंगरूट,রংরুট
रक्त,রক্ত
रघु,রঘু
रंगीन,রঙিন
रेंजर्स,রঙ্গরস
रचना,রচনা
रंजन,রঞ্জন
रंजनी,রঞ্জনী
रंजीत,রঞ্জিত
रता,রটা
रत्न,রত্ন
रथ,রথ
रबर,রবার
रमजान,রমজান
राम,রমা
रंभा,রম্ভা
रस्सी,রশি
रस,রস
रसातल,রসাতল
रसायन,রসায়ন
रसीद,রসিদ
रहस्य,রহস্য
राइफल,রাইফেল
राघव,রাঘব
राज,রাজ
राजपूत,রাজপুত
राजा,রাজা
राजीव,রাজীব
राजेंद्र,রাজেন্দ্র
राज्य,রাজ্য
रात,রাত
रतुल,রাতুল
राधा,রাধা
राधिका,রাধিকা
राणा,রানা
रबारी,রাবড়ি
रावण,রাবণ
रम,রাম
राशि,রাশি
रासायनिक,রাসায়নিক
रहस्यमय,রহস্যময়
राजनीतिक,রাজনৈতিক
राही,রাহি
राहु,রাহু
रिक्शा,রিকশা
रिपोर्ट,রিপোর্ট
रिवाल्वर,রিভলবার
रील,রিল
रिहर्सल,রিহার্সাল
रुई,রুই
रोटी,রুটি
रुद्र,রুদ্র
रूमाल,রুমাল
रैक,রেক
रेज़गी,রেজকি
रजाई,রেজাই
रजिस्ट्री,রেজিস্ট্রি
रिंच,রেঞ্চ
रेडियम,রেডিয়াম
रेडियो,রেডিয়ো
रेफरी,রেফারি
रेबा,রেবা
रेल,রেল
रेलिंग,রেলিং
रेशम,রেশম
रेस्तरां,রেস্তেরাঁ
रैखिक,রৈখিক
रोग,রোগ
रोपण,রোপণ
रोम,রোম
रोमन,রোমান
रोल,রোল
रोलर,রোলার
रोशनी,রোশনাই
रोह,রোহ
रोहना,রোহণ
रोहिणी,রোহিণী
रैपर,রাপার
लॉकर,লকার
लाकेट,লকেট
लाख,লক্ষ
लक्ष्मी,লক্ষী
लक्ष्य,লক্ষ্য
लग्न,লগ্না
लॉटरी,লটারি
लड्डू,লড্ডু
लश्कर,লশকর
लसीका,লসিকা
लहर,লহর
लहरी,লহরি
लाइन,লাইন
लाइसेंस,লাইসেনস
लौकी,লাউ
लगाम,লাগাম
लाल,লাল
लालित्य,লালিত্য
लास्य,লাস্য
लास,লাস
लेखन,লিখন
लिंग,লিঙ্গ
लीची,লিচু
लीटर,লিটার
लिपि,লিপি
लिप्यंतरण,লিপ্যন্তর
लुंगी,লুঙ্গি
लूनी,লুঙি
लूटा,লুট
लेखक,লেখক
लेखनी,লেখনী
लेखिका,লেখিকা
लेपचा,লেপচা
लेबल,লেবেল
लेस,লেস
लेह,লেহ
लोटन,লোটন
लोटा,লোটা
लोढ़ा,লোধ
लोला,লোলা
लोहा,লোহা
शक्ति,শক্তি
शौक,শখ
शंकर,শঙ্কর
शंकु,শঙ্কু
शंख,শঙ্খ
सती,শটী
शतरंज,শতরঞ্জ
शपथ,শপথ
शव,শব
सामी,শমি
शम्भू,শম্ভু
शैतान,শয়তান
सरन,শরণ
शर्बत,শরবত
शरबती,শরবতি
सराभा,শরভ
शारा,শরা
शराब,শরাব
शरीफ,শরিফ
शरीयत,শরিয়ত
शर्त,শর্ত
शर्मा,শর্মা
साली,শলি
शशिकला,শশীকলা
शशि भूषण,শশীভূষণ
शाहिद,শহিদ
शक्त,শাক্ত
शाक्य,শাক্য
शाखा,শাখা
साटन,শাটিন
साड़ी,শাড়ি
शादी,শাদি
शान,শান
शाना,শানা
शांति,শান্তি
शाब,শাব
साबन,শাবান
शमी,শামি
शामियाना,শামিয়ানা
शामिल,শামিল
सारंगा,শারঙ্গ
सारिका,শারিকা
शर्ट,শার্ট
शाल,শাল
शलजम,শালগম
शासन,শাসন
शासित,শাসিত
शाह,শাহ
शाहनशाह,শাহানশাহ্
शहाना,শাহানা
शाही,শাহি
सींग,শিং
शिक्षक,শিক্ষক
शिक्षा,শিক্ষা
शिक्षित,শিক্ষিত
सिख,শিখ
शिखर,শিখর
सिनी,শিঙি
शिवानी,শিবানী
शिविर,শিবির
सेम,শিম
सिमुल,শিমুল
सिम्बा,শিম্বা
शिया,শিয়া
शिरोमणि,শিরোমণি
शीशी,শিশি
शिष्य,শিষ্য
सील,শীল
शुक्र,শুক্র
सूखा,শুষ্ক
शूद्र,শূদ্র
शून्य,শূন্য
श्रृंखला,শৃঙ্খল
शेख़,শেখ
शेखर,শেখর
सेठ,শেঠ
शेफाली,শেফালি
शेर,শের
शैव,শৈব
शैली,শৈলী
शैलेंद्र,শৈলেন্দ্র
शोक,শোক
शुक्रवार,শুক্রবার
श्रवण,শ্রাবণ
शोरा,শোরা
शोला,শোলা
शोषण,শোষণ
श्वसन,শ্বসন
सांस,শ্বাস
श्मशान,শ্মশান
श्रम,শ্রম
श्रेष्ठ,শ্রেষ্ঠা
श्रोणि,শ্রোণী
षड़यन्त्र,ষড়যন্ত্র
साठ,ষাট
साईस,সইস
संकट,সংকট
संकलन,সংকলন
संकीर्ण,সংকীর্ণ
संकेत,সংকেত
संक्रमण,সংক্রমণ
संक्रांति,সংক্রান্তি
संक्रामक,সংক্রামক
संख्या,সংখ্যা
संगठन,সংগঠন
संगठित,সংগঠিত
संगीत,সংগীত
संग्रह,সংগ্রহ
संग्राहक,সংগ্রাহক
संघर्ष,সংঘর্ষ
संविधान,সংবিধান
संयम,সংযম
संरक्षण,সংরক্ষণ
शोधक,সংশোধক
संशोधित,সংশোধিত
संसद,সংসদ
संस्करण,সংস্করণ
सकर्मक,সকর্মক
सत्यकी,সাত্যকি
सोन,সোনে
स्वस्थ,সুস্থ
सक्रिय,সক্রিয়
सक्षम,সক্ষম
संगत,সঙ্গত
संगीन,সঙ্গিন
सचित्र,সচিত্র
सचिव,সচিব
सचेतक,সচেতক
सजल,সজল
सजातीय,সজাতি
सज्जन,সজ্জন
सम्मान,সন্মান
सहारा,সাহারা
सारा,সড়
सत्संग,সত্সঙ্গ
सत्तर,সত্তর
सत्ता,সত্তা
सदस्य,সদস্য
सदाशिव,সদাশিব
सदगति,সদ্গতি
सनातन,সনাতন
सनत,সনাথ
संत,সন্ত
संतुष्ट,সন্তুষ্ট
संदेश,সন্দেশ
संदेह,সন্দেহ
सन्नाटा,সন্নত
सपुत्रा,সপুত্র
सफल,সফল
सब्ज़ी,সবজি
साबरी,সবরি
सविता,সবিতা
समतल,সমতল
सपना,স্বপ্ন
समद्विबाहु,সমদ্বিবাহু
सम्मन,সমন
समानमूल्य,সমমূল্য
समय,সময়
समर्थन,সমর্থন
समर्था,সমর্থা
समर्थित,সমর্থিত
समस्या,সমস্যা
समाक्षीय,সমাক্ষ
समाचार,সমাচার
समाज,সমাজ
समाधान,সমাধান
समापन,সমাপন
समित,সমিত্
समीकरण,সমীকরণ
सर्वेक्षण,সমীক্ষণ
समीर,সমীর
समुद्र,সমুদ্র
संपत्ति,সম্পত্তি
संपादक,সম্পাদক
संपादित,সম্পাদিত
संभव,সম্ভব
संभावना,সম্ভাবনা
संभावित,সম্ভাবিত
सम्मेलन,সম্মেলন
सम्राट,সম্রাট
सरकार,সরকার
सरफराज,সরফরাজ
सरस्वती,সরস্বতী
सरोज,সরোজ
सरोद,সরোদ
सलमान,সলমা
सस्ता,সস্তা
सहरसा,সহর্ষ
सहानुभूति,সহানুভূতি
सहिष्णु,সহিষ্ণু
सांख्य,সাংখ্য
सांस्कृतिक,সাংস্কৃতিক
संथाल,সাঁওতাল
साक्षर,সাক্ষর
साना,সাঙা
साज़,সাজ
सात,সাত
साथी,সাথি
साथ,সাথে
सादी,সাদি
शहनाई,সানাই
शानू,সানু
साँप,সাপ
साप्ताहिक,সাপ্তাহিক
साबुन,সাবান
सावित्री,সাবিত্রী
सामाजिक,সামাজিক
समल,সামাল
सांप्रदायिक,সাম্প্রদায়িক
साम्राज्य,সাম্রাজ্য
सारंगी,সারঙ্গী
सारथी,সারথি
सारस,সারস
सारस्वत,সারস্বত
सारांश,সারাংশ
सारेगामा,সারেগামা
सर्कस,সার্কাস
सर्जन,সার্জন
साल,সাল
साल्सा,সালসা
सलवार,সালোয়ার
साहस,সাহস
साहित्य,সাহিত্য
सिंहासन,সিংহাসন
सीढ़ी,সিঁড়ি
सिंदूर,সিঁদুর
सिका,সিকা
सिगरेट,সিগারেট
सिद्धार्थ,সিদ্ধার্থ
सिना,সিনা
सन्दूक,সিন্দুক
सिंधी,সিন্ধি
सिंधिया,সিন্ধিয়া
सिंधु,সিন্ধু
सिरका,সির্কা
सीस,সিস
सीमा,সীমা
सीमित,সীমিত
सुई,সুই
सुख,সুখ
सुखी,সুখী
सुजान,সুজন
सुजला,সুজলা
सूजी,সুজি
सूट,সুট
सुनेत्रा,সুনেত্রা
सुंदर,সুন্দর
सुन्नी,সুন্নি
सूप,সুপ
सुपर्णा,সুপর্ণ
सुपारी,সুপারি
सुप्रभात,সুপ্রভাত
सुफला,সুফলা
सूफी,সুফি
सूबा,সুবা
सुब्रत,সুব্রত
सुभाष,সুভাষ
सुमेधा,সুমেধা
सुरंग,সুরঙ্গ
सूरत,সুরত
सुरेंद्र,সুরেন্দ্র
सुरती,সুর্তি
सुलतान,সুলতান
सुशासन,সুশাসন
सुशील,সুশীল
सुषमा,সুষমা
सुहास,সুহাস
सूक्ष्म,সূক্ষ্ণ
सूत्र,সূত্র
सूरी,সূরী
सूरज,সূর্য
सेकंड,সেকেন্ড
सितार,সেতার
सेना,সেনা
सितंबर,সেপ্টেম্বর
सेवा,সেবা
सेवित,সেবিত
सेबी,সেবী
सेंवई,সেমই
सेरी,সেরি
सिलाई,সেলাই
सलाम,সেলাম
सैनिक,সৈনিক
सैयद,সৈয়দ
सोडा,সোডা
सोना,সোনা
स्वेटर,সোয়েটার
सौमित्र,সৌমিত্র
सौर,সৌর
स्कंद,স্কন্দ
स्कूटर,স্কুটার
स्क्रू,স্ক্রু
स्टूडियो,স্টুডিয়ো
स्टेशनों,স্টেশন
स्तन,স্তন
स्तंभ,স্তম্ভ
शाला,স্হল
स्थायी,স্হায়ী
शाली,স্হালী
शुला,স্হুল
स्नान,স্নান
स्पष्ट,স্পষ্ট
स्वतंत्र,স্বতন্ত্র
स्वभाव,স্বভাব
स्वयं,স্বয়ং
स्वरचित,স্বরচিত
स्वराज्य,স্বরাজ
स्वर्ग,স্বর্গ
स्वागत,স্বাগত
स्वाति,স্বাতি
स्वाद,স্বাদ
स्वास्थ्य,স্বাস্হ্য
स्वीकार,স্বীকার
स्मरण,স্মরণ
स्मारा,স্মার
स्मारक,স্মারক
स्मृति,স্মৃতি
श्यामन्तक,স্যমন্তক
स्लेट,স্লেট
हंस,হংস
हॉकी,হকি
हज,হজ
हट्टा,হট্ট
हठयोग,হঠযোগ
हांडी,হণ্ডী
हत्या,হত্যা
हबाना,হবন
हड़ताल,হরতাল
हरि,হরি
हल्दी,হলদি
हलंत,হলন্ত
हलायुध,হলায়ুধ
हाली,হলী
हाथ,হস্ত
हस्त,হস্তা
हाथीदांत,হস্তিদন্ত
हाथी,হস্তী
हाय,হাই
हैफ़ेन,হাইফেন
होवी,হাউই
हवा,হাওয়া
हांफी,হাঁফ
हज़ार,হাজার
हथियार,হাতিয়ার
हानि,হানি
हब,হাব
हवलदार,হাবিলদার
हामा,হামা
हमामा,হামাম
हया,হায়া
हारा,হারা
हराम,হারাম
हरेम,হারেম
हलाल,হালাল
हास,হাস
हींग,হিং
हीरा,হিড়
हिन्दी,হিন্দি
हिन्दू,হিন্দু
हिस्टीरिया,হিস্টিরিয়া
हीराम,হীরামন
हेत्वाभास,হেত্বাভাস
हेमंत,হেমন্ত
हेरा,হেরা
हो,হো
होटल,হোটেল
होरा,হোরা
होल्ली,হোলি
सुधारने,শোধরানো
संस्कृत,সংস্কৃত
सचेत,সচেতন
सरित,সরিত্
सृजन,সর্জন
सब,সর্ব
सौ,সাউ
सबूत,সাবুদ
होता,হত
हा,হা
थोपना,হানা
अस्पताल,হাসপাতাল
ऋषिकेश,হৃষিকেশ
खटिया,খাটিয়া
गाम्भीर्य,গাম্ভীর্য
निर्मला,নির্মলা
रविवार,রবিবার
बताया,বলা
बदमाश,বদমাশ
प्रभुता,প্রভূত
साक्षात,সাক্ষাত্কার
सुन्दरता,সুন্দরতা
नरेन्द्र,নরেন্দ্র
मानवीयता,মানবতা
रखा,রাখা
अस्तित्व,অস্তিত্ব
तलाश,তল্লাশি
नौकर,চাকর
शिवपूजन,শিবপুজান
शाख,শাখা
डूब,ডুব
इशारा,ইশারা
प्रेम,প্রেম
फोन,ফোন
बोली,বললো
सिद्ध,সিদ্ধ
आशक्ति,আসক্তি
बुधवार,বুধবার
पैसावाला,Paisawala
लालसा,লালসা
परिभाषा,পরিভাষা
वस्तु,বস্তু
नौका,নৌকো
दूकानों,দোকান
अधर्मी,অধর্মী
शीत,শীত
पीछे,পিছনে
मूल्यहीन,মূল্যহীন
उदेश्य,উদ্দেশ্য
सोलह,ষোল
बक्सर,বক্সারের
छवि,ছবি
बिछना,বিছানা
मौसम,মৌসুম
आजादी,আজাদী
तीर्थयात्रा,তীর্থযাত্রা
प्रत्यक्ष,প্রত্যক্ষ
लुटे,লুট
नुकसान,লোকসান
सख्त,শক্ত
रिजल्ट,রেজাল্ট
इतवार,রবিবার
तुच्छ,তুচ্ছ
स्थानीय,স্থানীয়
नक्सलियों,নকশাল
प्रतिवर्ष,প্রতিবছর
डिग्री,ডিগ্রী
वोटर,ভোটার
उपाय,উপায়
एकाग्रता,একাগ্রতা
नामकरण,নামকরণ
गतिशील,গতিশীল
विषय,বিষয়
भाग्यविधाता,ভাগ্যবিধাতা
कॉन्वेंट,কনভেন্ট
सप्लाई,সাপ্লাই
पारिवारिक,পারিবারিক
और,আর
सैनिकों,সৈনিক
दुकानदार,দোকানদার
हेलमेट,হেলমেট
स्कूलों,স্কুলে
योजना,যোজনা
सुनामी,সুনামি
हल्वा,হালুয়া
जीवंत,জীবন্ত
देवतों,দেবতা
हाईस्कूल,হাইস্কুল
खिचड़ी,খিচুড়ি
कब्जा,কব্জা
एक​,এক
तुम्हारे,তোমার
दर्शकों,দর্শকরা
प्रतिमा,প্রতিমা
अत्याचार,অত্যাচার
फुर्ती,ফুর্তি
प्रतीकों,প্রতীক
प्राणवान,প্রাণবন
दुर्दशा,দুর্দশা
शुरुआत,শুরু
व्यवस्था,ব্যবস্থা
धनराशि,ধনরাশি
लाभकारी,লাভকারী
तुम्हारा,তোমার
ग्राहकों,গ্রাহকরা
चैन,শান্তি
फ्री,ফ্রি
कसैली,পূগ
इत्तफ़ाक़,দৈবাৎ
कमीशन,কমিশন
जल​,জল
कलयुग,কলিযুগ
अन्न,অন্ন
नाचते,নাচতে
प्रकाश,প্রকাশ
सर्विस,সার্ভিস
प्रतिष्ठान,প্রতিষ্ঠান
यमराज,যমরাজ
मजदूर,মজুর
सजा,সাজা
कुम्भ,কুম্ভ
कटना,কাটাতে
कारणों,কারণ
चंडाल,চণ্ডাল
जमीन,জমিটি
विश्वविद्यालयों,বিশ্ববিদ্যালয়
भक्तिपरक,ভক্তিপরক
चौकश,চৌকস
आधारभूत,অধরাভূত
मिलिट्री,মিলিটারি
उस्ताद,উস্তাদ
योग्य,যোগ্য
पर्दा,পর্দা
दिमाग,দিমাগ
अनुसन्धान,অনুসন্ধান
दुल्हनिया,দুলহানিয়া
कंचा,কাঁচা
दिनों,দিন
सौंदर्य,সৌন্দর্য
चप्पल,চপ্পল
उत्सव,উৎসব
औषधि,ঔষধ
बहन,বাহানা
हीरोइन,হিরোইন
ठिकाना,ঠিকানা
तस्वीर,তাসভির
डॉक्टर,ডাক্তার
तत्काल,তাৎকাল
महेंद्र,মহেন্দ্র
मात्रा,মাত্রা
उल्टा,উল্টা
कुर्बानी,কুরবানী
उचित,উচিত
निर्दय,নির্দয়া
परोसना,পারসোনা
गोर्की,গোর্কি
पुत्री,পুত্রী
मैल,ময়লা
विदेशी,বিদেশী
प्रणाम,প্রণাম
श्रद्धालु,শ্রদ্ধালু
स्पीड,স্পীড
देवप्रयाग,দেবপ্রয়াগ
गेहुं,গম
मैदान,ময়দান
विवेचन,বিবেচনা
जुबान,জিহ্বা
घरघराना,ঘাড়াঘারানা
प्रवचन,প্রবচনা
त्याग,ত্যাগ
मैथिली,মৈথিলি
अंदाज,আন্দাজ
व्यक्तित्व,ব্যক্তিত্ব
प्रचारक,প্রচারক
प्रजा,প্রজা
निर्देश,নির্দেশ
पाकिस्तान,পাকিস্তান
स्व​भाविक,স্বাভাবিক
खर्चा,খরচ
जन्मा,জন্ম
प्रवाल,প্রবাল
हेलिकॉपटर,হেলিকপ্টার
जन्म​,জন্ম
भैया,ভাই
ग्राहक,গ্রাহক
उद्द्योग,উদ্যোগ
पाकेट,পকেট
अक्षरों,অক্ষর
फ्रिज,ফ্রিজ
शुक्ला,শুক্লা
हल्ला,হাল্লা
घुसना,ঘোষণা
निर्मल,নির্মলা
कोमल,কোমল
सावधानी,সাবধানী
पंजाब,পাঞ্জাব
​खानदान,খান্দান
फ्लाइट,ফ্লাইট
बिछावन,বিছানা
राक्षस,রাক্ষস
जिला,জেলা
गतिशीलता,গতিশীলতা
विद्रोही,বিদ্রোহী
करेला,করলা
हिंदी,হিন্দি
महेश​,মহেশ
शेयर,শেয়ার
भस्म,ভস্ম
मुश्किल,মুশকিল
बांग्लादेश ,বাংলাদেশ
सरकार ,সরকার 
 पुलिस ,পুলিশ
साधारण ,সাধারণ 
दक्षिण ,দক্ষিণ 
उत्तर ,উত্তর 
सदस्य ,সদস্য
सोमवार ,সোমবার
प्रकाशित ,প্রকাশিত
राजनीतिक ,রাজনৈতিক
उल्लेख ,উল্লেখ 
पुरस्कार ,পুরস্কার
 मार्च ,মার্চ 
शनिवार ,শনিবার
 छात्र ,ছাত্র 
मामला,মামলা 
प्राथमिक,প্রাথমিক
स्थान,স্থান 
 परिवर्तन,পরিবর্তন
 पश्चिम,পশ্চিম
सामरिक,সামরিক
 निश्चित,নিশ্চিত
क्षमता,ক্ষমতা
मृत्यु,মৃত্যু
मुस्लिम,মুসলিম
 मंत्री,মন্ত্রী
अत्यंत,অত্যন্ত
 संग्रह,সংগ্রহ
महिला,মহিলা 
स्त्री,স্ত্রী
सरकारी,সরকারী
 स्थानीय,স্থানীয়
लिखित,লিখিত
 प्रदेश,প্রদেশ 
मोबाइल,মোবাইল
जनसंख्या,জনসংখ্যা
सुविधा,সুবিধা 
 शिकार,শিকার
सेक्टर,সেক্টর
चिह्नित,চিহ্নিত
तारीख,তারিখ 
अनुमति,অনুমতি
आर्थिक,আর্থিক
उद्देश्य,উদ্দেশ্য 
अनुरोध,অনুরোধ
समन्दर,সমুদ্র
एक बार,একবার 
 प्रेस,প্রেস
शहीद,শহীদ
रूप,রূপ
भूल,ভুল
 प्रेम,প্রেম
प्रेत,প্রেত
ह्रदय,হৃদয়
संखा,সংখ্যা
 सरल,সরল
पीठ,পীঠ
शरीर,শরীর
गरीब,গরীব
सम्पत्ति,সম্পত্তি
लम्बा,লম্বা
चउड़ा,চওড়া
आय़ू,আয়ু
सुन्दर,সুন্দর
सुन्दरी,সুন্দরী
शान्तिः,শান্তি
सति,সতী
घड़ि,ঘড়ি
स्वाधीन,স্বাধীন
सोमवार,সোমবার
मंगलवार,মন্গলবার
बूधवार,বুধবার
शनिवार,শনিবার
 दिन,দিন
 घोरा,ঘোড়া
 उँट,উট
 साँप,সাপ
दफ़्तर,দপ্তর
बन्द,বন্ধ
सादासीधा,সাদাসিধা
 बिचित्र,বিচিত্র
 श्रेष्ठ,শ্রেষ্ঠ
 सफर,সফর
 फकिर,ফকির
 साधक,সাধক
ब्रीझ,বৃক্ষ
दम,দম
परिचालक,পরিচালক
 प्रश्न,প্রশ্ন
जातपात,জাত্পাত
 दुनिय़ा,দুনিয়া
भीर,ভীর
 बाहु,বাহু
हासि,হাসি
 चाँद,চাঁদ
 मामा,মামা
भोर,ভোর
घना,ঘন
  जागा,জাগা
दाग,দাগ
बाप,বাপ
मा,মা
ज्ञानी,জ্ঞানী
 ढिला,ঢিলা
पाहार,পাহাড়
सुर,সুর
सरगम,সরগম
ना,না
जाहाज,জাহাজ
तमाम,তামাম
हाजार,হাজার
तुफान,তুফান
ठान्डा,ঠান্ডা
सम्पर्क,সম্পর্ক
तितली,তিতলী
चेहारा,চেহারা
हामेशा,হামেশা
बाहाना,বাহানা
काल,কাল
खबर,খবর
शुरु,শুরু
झारु,ঝারু
साधु,সাধু
महाराज,মহারাজ
खुशी,খুশী
जय,জয়
बिजय,বিজয়
मयूरी,ময়ূরী
पन्चम,পন্চ্ঞম
बेईमान,বেইমান
लीला,লীলা
दीप,দীপ
आनन्द,আনন্দ
दुःख,দুঃখ
निश्चित,নিশ্চিত
राजनीति,রাজনীতি
प्रकाशित,প্রকাশিত
असुविधा,অসুবিধা
सभा,সভা
संबिधान,সংবিধান
संसार,সংসার
संस्कार,সংস্কার
संशोधन,সংশোধন
तालिम,তালিম
नेशा,নেশা
कबिता,কবিতা
बिरि,বিড়ি
परिचालन,পরিচালন
परिचारक,পরিচারক
परिचायक,পরিচায়ক
परिचारिका,পরিচারিকা
सधबा,সধবা
बिधबा,বিধবা
भीरु,ভীরু
भितर,ভিতর
बाहुबल,বাহুবল
जागह,জায়গা
ग्यान,জ্ঞান
खिरकि,খিড়কি
जा,যা
खाना,খানা
बालक,বালক
तास,তাস
तेज,তেজ
स्वभाब,স্বভাব
स्वाभाबिक,স্বাভাবিক
शान्त,শান্ত
नजर,নজর
बुनियाद,বুনিয়াদ
सुरझा,সুরক্ষা
पुष्टि,পুষ্টি
बाहार,বাহার
चिन्ता,চিন্তা
चिह्णित,চিহ্ণিত
सतर्क,সতর্ক
चन्दन,চন্দন
आयुर्बेद,আয়ুর্বেদ
नजरदारि,নজরদারি
कायदा,কায়দা
श्लोक,শ্লোক
गायिका,গায়িকা
बीणा,বীণা
हारमोनियम,হারমোনিয়াম
गीटार,গীটার
उन्नति,উন্নতি
आलु,আলু
पेँयाज,পেঁয়াজ
सबजि,সবজি
मुकुट,মুকুট
ध्रुबतारा,ধ্রুবতারা
सन्यासी,সন্যাসী
बैरागी,বৈরাগী
मन,মন
बादाम,বাদাম
देवता,দেবতা
कठीन,কঠীন
साजा,সাজা
मयना,ময়না
सुनयना,সুনয়না
पाठ,পাঠ
लोकालय,লোকালয়
सारेगीं,সারেঙ্গী
पयसा,পয়সা
बरफि,বরফি
गेरुआ,গেরুয়া
स्वर्णमृग,সবার্নাম্রৃগা
प्रतिमान,প্রতিমান
अप्रैल,এপ্রিল
उजाला,উজালা
शताब्दी,শতাব্দী
शीश,শিশা
गधा,গাধা
देशसेवा,দেশসেবা
दुर्गति,দুর্গতি
वृक्ष,বৃক্ষ
विपक्षी,বিপক্ষী
आसमान,আসমান
मुहूर्त,মুহূর্ত
परिवहन,পরিবহন
रामायण,রামায়ন
बुढा,বুড়ো
शांतिमय,শান্তিময়
दूरदर्शन,দূরদর্শন
चाभी,চাবি
सर्द,সারদা
निस्वार्थ,নি:স্বার্থ
भूना,ভুনা
सिपाही,সিপাই
ऑस्ट्रेलिया,অস্ট্রেলিয়া
आजीविका,জীবিকা
कनेक्शन,কানেকশন
शिवरतन,শিভাড়াটানা
अस्पतालों,হাসপাতাল
सहमना,সোহমন
शब्द,শব্দ
दैत्य,দৈত্য
सार्वजनिक,সর্বজনীক
चौहान,চৌহান
सुमना,সুমনা
शिवसेना,শিবসেনা
रसैनिक,রাসায়নিক
कुणाल,কুনাল
बीमारी,বিমারী
चमत्कार,চমৎকার
दुर्गा,দূর্গা
अट्ठारह,আঠার
कैकेयी,কৈকেয়ী
उदासीन,উদাসীন
संन्यासी,সন্ন্যাসী
महाकाव्य,মহাকাব্য
ऊर्जा,উর্জা
दुर्भाग्य,দুর্ভাগ্য
जूनियर,জুনিয়র
त्यागी,ত্যাগী
निश्चिन्त,নিশ্চিন্ত
दुल्हा,বর
पतनशील,পতনশীল
दोपहर,দুপুর
अतिथियों,অতিথিয়
शांत,শান্ত
स्थापना,স্থাপনা
लाचार,অসহায়
उसूल,বচন
नाशपाती,নাশপাতি
गर्ल,গার্ল
शर्मीला,শর্মিলা
कफ्र्यू,নিষ্প্রদীপ
सेल्फी,সেলফি
इन्सपेक्टर,ইন্সপেক্টর
मुकाबला,মোকাবেলা
नोट,নোট
संपर्क,সম্পর্ক
हरिद्वार,হরিদ্বার
शोषित,শোষিত
प्रभावी,প্রভাবই
विधान,বিধান
जलवायु,জলবায়ু
तर्क,তর্ক
विरुद्ध,বিরুদ্ধে
कस्तूरी,কস্তুরী
श्रद्धा,শ্রদ্ধা
हलवा,হালুয়া
बर्फ,বরফ
दशरथ,দশরথ
प्रचलित,প্রচলিত
निस्चिन्त,নিশ্চিন্ত
भण्डार,ভান্ডার
सहयोगी,সহযোগী
असामान्य,অসামান্য
आजकल,আজকাল
आदेश,আদেশ
आचार्य,আচার্য
ग्यारह,এগারো
द्वादश,দ্বাদশ
सर्वाधिक,সর্বোচ্চ
नर्क,নরকে
अभूतपूर्व,অভূতপূর্ব
चिंतन,চিন্তা
प्रचार,প্রচার
परख,পরীক্ষা
तृतीया,তৃতীয়
प्रस्तुत,প্রস্তুত
मलहम,মলম
प्रभु,প্রভু
जौहर,জোহর
प्रेमकथा,প্রেমকথা
फैशन,ফ্যাশন
जीतते,জেতাতে
निर्णय,নির্ণয়
इम्प्रेशन,ইমপ্রেসন
सुस्ता,সুস্ত
इसमें,এটিতে
आवश्यकता,প্রয়োজন
प्रदेश,প্রদেশ
चमत्कारी,চমৎকারই
लोकभाषा,লোকভাষা
कौआ,কাক
लोकगीतों,লোকগীতি
चालाक,চালাক
साधारण,সাধারণ
पसंद,পছন্দ
जरूरी,জরুরি
फरमाइश,ফরমায়েশ
